achievement_id,prize_id,description
1,160,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
2,569,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"""
3,293,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
4,462,"""in recognition of his humanitarian efforts to create international understanding and help wounded souldiers"""
5,463,"""in recognition of his lifelong work advocating for international peace, cooperation across national borders"""
6,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
7,161,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses"""
8,571,"""the greatest living master of the art of historical writing, with special reference to his monumental work"""
9,294,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
10,464,"""in recognition of his message of peace, atonement, and dignity"""
11,180,"""for his work on the scattering of light and for the discovery of the effect named after him"""
